nom_complet	tax_type	cd_type_biolo1	lb_phyto_1	lb_phyto_2	cd_ref	82	206	208	334	338	810	869	5018	5137	5138	5139	5140	5141	5172	5173	5174	5183	5184	5185	8661	8662	8663	8665	8668	8676	8713	8715	8753	9033	10011	10012	10013	10014	10015	11263	11425	11426	14808	16711	16724	16750	16770	16780	16824	19017	19047	19072	19120	19197	19219	19220	19347	71068	119774	120731	122412	122413	122414	122415	126843	128609	128614	150346	153785	153786	153787	240875	256620	256621	256622	256623	256624	256625	256626	256627	256628	256629	256630	256631	259247	259589	259868	272528	272609	272959	272960	273456	273457	273483	273485	273700	273703	273704	274762	274763	274764	274765	274766	274767	274768	274769	274770	276028	284782	284783	284784	284785	284786	284787	284788	284789	284790	284791	284792	284793	284794	284795	284796	284797	284798	284799	284800	284801	284802	284803	284804	284805	284806	284807	284808	284809	284810	284811	284812	284813	284814	284815	284816	284817	284818	284819	284820	284821	284822	284823	284824	284825	284826	284827	284828	284829	284830	284831	284832	284833	284834	284835	284837	284838	284839	284841	284842	284843	284844	284846	284847	284849	284850	284851	284852	284853	284854	284855	284856	284858	284859	284860	284861	284862	284863	284864	284865	284867	284868	284869	284870	284871	284872	284874	284875	284876	284877	284878	284879	284880	284881	284882	284883	284884	284885	284886	284887	284889	284890	284891	284892	284893	284894	284895	284896	284897	284898	284899	284900	284902	284903	284904	284905	284906	284908	284909	284910	284911	284912	284914	284915	284916	284918	284919	284920	284921	284922	284923	284924	284925	284926	284927	284928	284929	284930	284931	284932	284933	284934	284935	284938	284939	284940	284941	284942	284943	284944	284945	284946	284947	284949	284950	284951	284952	284953	284954	284955	284956	284957	284958	284959	284960	284961	284962	284963	284964	284965	284966	284967	284968	284969	284970	284971	284972	284973	284974	284975	284976	284977	284978	284979	284981	284982	288053	288054	288055	288056	288057	288058	288059	293372	293373	293374	293375	293376	293377	293378	293379	293384	295385	295386	297394	297395	297431	297436	297481	297569	307891	311058	311059	311060	315902	315903	315904	315905	323654	327447	327448	327449	327545	327933	327934	327935	327936	330714	330932	331085	332857	333206	333218	334787	334788	341457	341458	341459	341460	341461	341462	341513	341537	341613	341614	341615	341616	341617	341618	341619	341620	341621	342966	342967	346916	346919	346921	346964	347005	347016	347289	347760	347845	348628	348629	348630	348634	348637	348638	350929	351617	351618	351621	352167	352256	352257	352258	352259	352260	352261	352263	352264	352265	352269	352270	352271	352275	355229	357857	357858	357891	357892	357893	357894	357896	357897	357898	357899	357900	357902	357903	357904	357905	357907	357927	357964	357969	358634	358635	359339	359340	359341	359342	359343	359344	359345	359346	359347	359348	359349	359350	359351	359352	359353	359354	359355	359356	359357	359358	359359	359361	359362	359363	359364	359365	359366	359367	359368	359369	359370	359371	359372	359373	359374	359375	359377	359378	359379	359380	359381	359382	359383	359384	359385	359386	359387	359388	359389	359390	359391	359392	359393	359394	359395	359396	359397	359398	359399	359400	359401	359402	359403	359404	359405	359406	359408	359409	359410	359411	359412	359413	359414	359415	359416	359417	359418	359419	359420	359421	359423	359424	359425	359426	359427	359428	359429	359430	359431	359432	359433	359434	359435	359436	359437	359438	359439	359440	359441	359442	359443	359444	359445	359446	359447	359448	359449	359451	359452	359453	359454	359455	359456	359457	359458	359459	359460	359461	359462	359463	359464	359465	359466	361354	361502	361503	361505	361506	361507	361511	361515	361516	361517	361518	361519	361521	361522	361907	361974	361976	361977	361978	361979	362249	362250	362251	362252	362253	362254	362255	362256	362257	362258	362270	362279	362280	362281	362282	362283	362284	363144	364160	364161	364162	371986	413815	413823	414152	414153	414154	414155	414156	414157	414158	414159	414161	419940	421970	582664	582940	603239	603240	603241	603248	603255	603256	616109	616110	652108	652109	652110	653452	653984	653985	653986	654042	654043	654044	658052	658053	658054	658056	658058	658059	658066	658067	658077	658078	658079	658081	658082	658083	658084	658085	658087	1077539	1080722	1080724	1080725	1080726	1080727	1080729	1103413	1103414	1136782	1136783	1136784	1136785	1136786	1136787	1136788	1136789	1136790	1149683	1152801	1152823	1154404	1154438	1154789	1155175	1155965	1156089	1156806	1159054	1160178	1162167	1162168	1162169	1170706	1170711	1170714	1170740	1170757	1170758	1170759	1170760	1170761	1171818	1171819	1171823	1171824	1171826	1171830	1171831	1171884	1171885	1171886	1171889	1171890	1171891	1171892	1171893	1171894	1171895	1171900	1171902	1171903	1171904	1171905	1171906	1171907	1171908	1171909	1171910	1171911	1171913	1172198	1172391	1172393	1173265	1173266	1173267	1173268	1173269	1173270	1173271	1173272	1173273	1173274	1173276	1173281	1173282	1173288	1173289	1173290	1173291	1173293	1174917	1174918	1180709	1180710	1181846	1184899	1392184	1392812	1398766	1398767	1398768	1398769	1398770	1398771	1398772	1398773	1398774	1398775	1400760	1400761	1400762	1400763	1400764	1400765	1400766	1400767	1400768	1400769	1400770	1400771	1400772	1400773	1400774	1400775	1400776	1400777	1400778	1400779	1400780	1400781	1400782	1400783	1400784	1400785	1400786	1400787	1400788	1400802	1400804	1400805	1400807	1400808	1400809	1400810	1400811	1400812	1400814	1400816	1400817	1400818	1400819	2488815	2639551	2639552	2639553	2641607	2641800	2649087	2651865	2652226	2652230	2655751	2655752	2655754	2655768	2656606	2656607	2656608	2659526	2687176	2687178	2688062	2689572	2689628	2690164	2690168	2691481	2692514	2693438	2693441	2694149	2694151	2694187	2694188	2694326	2694587	2694589	2694593	2695086	2695570	2695571	2697097	8011464	8011467	8011469	8011538	8014985	8015360	8015362	8015363	8015365	8015366	8015374	8015375	8015379	8015386	8015388	8015390	8015391	8015392	8015393	8015394	8015396	8015397	8015398	8015399	8015490	8015491	8015582	8015583	8015586	8015588	8015589	8015590	8015591	8015593	8015594	8015595	8015596	8015598	8015600	8015601	8015603	8015605	8015606	8015607	8015609	8015610	8015612	8015613	8015617	8015618	8015619	8015620	8015622	8015623	8015624	8015625	8015626	8015627	8015629	8015630	8015631	8015632	8015633	8015634	8015635	8015636	8015637	8015638	8015639	8015640	8015643	8015644	8015646	8015649	8057405	8057452	8057457	8057462	8060569	8060692	8060695	8060698	8060701	8060707	8060710	8060714	8060717	8060720	8108070	8109824	8118601	8118602	8118603	8118604	8121043	8121044	8121526	8121529	8121563	8121564	8122047	8122048	8122049	8122050	8127192	8127933	8361173	8362291	8362298	8362299	8362300	8362301	8362306	8362307	8362308	8362309	8362310	8362311	8362312	8362313	8362314	8362323	8372241	8372242	8372243	8372244	8372245	8372246	8372247	8372248	8372249	8372250	8372251	8372252	8372253	8372546	8372547	8372548	8372551	8372552	8372553	8372554	8372555	8372556	8372635	8372637	8372638	8372639	8372640	8372641	8372642	8377859	8384609	8384610	8384612	8384613	8384614	8393097	8393292	8393298	8403750	8404970	8406736	8413793	8413794	8413795	8413796	8413797	8413798	8413799	8413800	8413801	8413802	8413803	8413804	8413805	8427142	8427145	8441345	8441346	8465909	8478455	8478462	8588537	8610242	8611176	8611203	8611204	8611205	8611216	8611235	8611248	8611261	8611268	8611271	8611292	8611347	8611397	8611423	8611452	8611458	8611459	8611659	8611676	8611679	8611710	8611713	8611726	8611730	8611733	8611750	8611774	8611785	8611797	8611817	8611827	8611836	8611939	8611967	8611973	8612168	8612228	8612243	8616530	8616531	8616532	8616578	8616620	8616640	8616642	8616649	8616688	8616693	8618253	8618304	8618313	8625788	8625970	8628506	8631682	8633540	8641363	8702818	8703109	8703288	8703331	8703483	8703839	8703843	8704196	8704233	8704252	8704703	8704882	8704912	8705065	8705267	8705271	8705717	8705902	8706226	8706516	8706659	8706661	8706723	8706729	8706774	8706796	8706831	8706846	8706926	8707057	8707177	8707335	8707583	8707872	8707936	8708193	8708323	8708471	8708526	8708529	10069368	10071029	10286577	10325811	10351053	10354773	10355309	10356758	10356847	10412155	10412156	10413217	10413221	10429864	10439473	10441221	10445198	10452018	10452036	10452195	10453112	11704165	11704166	11704671	11704689	11704710	12069002	12069421	12125687	12126255	12244344	12244361	12244387	12244447	12244472	12244498	12244502	12244531	12244535	12244539	12244563	12244581	12244624	12244628	12244806	12244848	12244872	12244906	12244919	12244940	12245006	12245101	12245165	12245175	12245179	12245231	12245297	12245299	12245301	12245303	12245349	12245392	12245519	12245612	12245622	12245691	12245713	12245731	12245768	12245787	12245803	12245855	12245884	12245905	12246014	12246100	12246203	12246280	12246288	12246322	12246327	12246501	12246518	12246532	12246567	12246612	12246631	12246642	12246706	12246778	12246784	12246814	12246860	12246866	12246885	12246951	12246988	12246996	12247036	12247057	12247074	12247135	12247159	12247184	12247257	12247282	12247286	12247346	12247355	12247410	12247417	12247419	nb_valeur
Melica ciliata L., 1753	P	Hémi.			107851																																																																		+																																																																																																																																																																																																																																																																																																									1																																																																																																																																																																																																																																																																																																																																																																																																																																																																													X																																																																																																																																																											X																																																																																																																																																																																																																																												4
Melica ciliata subsp. ciliata L., 1753	P	Hémi.			137719																																																																+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									X											X		X																							X																																																																																																																																																																		5
Melica minuta L., 1767	P	Hémi.			107867						X																																																																																																																																																																																																																																																																																																																																																			1												1							+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		5
Melica minuta var. minuta L., 1767	P	Hémi.	Asplenietea trichomanis		160979																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													X	X					X							X					X	X						X	X	X					X																																																																																																																																																																		10
Melilotus albus Medik., 1787	P	Hémi.	Dauco - Melilotion		107886																																																																																																																																																																																																																																																																																																																																																																									1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												X																																																																																																																																																										2
Melilotus elegans Salzm. ex Ser., 1825	P	Thér.	Cardaminetea hirsutae		107905																																																																																																																																																																																																																																																																																																																																																																																						2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				X																																				X																																																																																																																																																																	3
Melilotus indicus (L.) All., 1785	P	Thér.			107914																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					X																																																																																																																																																										1
Melilotus spicatus (Sm.) Breistr., 1956	P	Thér.	Stipo capensis - Trachynietea distachyae		107965																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														X		X			X															X																																																																										X																					X	X									X																																																																																				8
Melilotus sulcatus Desf., 1799	P	Thér.	Stipo capensis - Bupleuretalia semicompositi		107967																																																																																																																																																																																																																																																																																																																																										2																																																																																																																																																																																																																																																		2																																																																																																																																																																																																																																										X										X																																																																																																																																																																																														X																									X		X														X							X																																																																																																																																																																	9
Mercurialis annua L., 1753	P	Thér.	Chenopodion muralis		108351																																																																																																																																																																																																																																																																																																																																																																								2																																																																																																																																																																																																																																																																																																																																																																																																																																																														X																		X																																																																																																																																																																																																																																																																																																																																																																																																							3
Mercurialis huetii Hanry, 1864	P	Thér.	Stipo capensis - Trachynietea distachyae	Valantio muralis - Galion muralis	108357																																																																																																																																																																																																																																																																																																																																																																																																																						2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								X					X											X							X											X													X	X		X																																																																																																																																																															9
Mercurialis tomentosa L., 1753	P	Cham.			108367																																																																	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		X																														X		X				X		X	X		X							X						X					X		X	X															X					X																																																									X																																																																																																	16
Microthlaspi perfoliatum (L.) F.K.Mey., 1973	P	Thér.	Cardaminetea hirsutae		108522																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																X																																																																																																																																																																																																																																																																																																																																																																																																																																															1
Misopates orontium (L.) Raf., 1840	P	Thér.	Helianthemion guttati	Brachypodietalia phoenicoidis	108645																																																																																																																																																																																																																																																																																																																																																									2																																																																																																																																																																																																2																																																																																																																																																																																																																																																																												X											X																																																																																																																																																																																																X			X						X	X			X																			X											X		X				X																						X																																	X									X	X																																																																																													17
Moehringia pentandra J.Gay, 1832	P	Thér.	Geranio purpurei - Cardaminetalia hirsutae		108689																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			X																																																																																																																																																																																																												1
Morus alba L., 1753	P	Phan.			108810																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						X																																																																																																																																																																																																																																																																																																																																																																																																																									1
Muscari atlanticum Boiss. & Reut., 1852	P	Géo. bulb.			108867																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							X				X		X	X																					X			X																																																																																																																																																																									6
Muscari comosum (L.) Mill., 1768	P	Géo. bulb.		Muscario racemosi - Allion vinealis	108874																					+		+																																																																																																																																																																																																																																																																																																																							2								2		2																																																																	2																																																																																																																																																																														X																																																																																																																																																																																																									X	X	X																			X	X									X									X																																																																																																																																																											X																										X						X	X					X	X		X	X	X							X											X	X	X					X								X		X				X																																																			X						X		X	X	X	X																																																																																												37
Muscari matritensis Ruíz Rejón, Pascual, C.Ruíz Rejón, Valdés & J.L.Oliv., 1985	P	Géo. bulb.	Geranion sanguinei		610916																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		X	X																																																																																																																																																																												2
Muscari neglectum Guss. ex Ten., 1842	P	Géo. bulb.	Muscario racemosi - Allion vinealis		108898																				+					+			+																																																																																																																																																																																																																																																																																																																																																																			2																								2	3																																																																																																																																									2																																																																																																																																																																																																																																																		X																																					X																																																																																																																																																							X		X		X																										X							X			X					X			X	X				X			X									X			X			X	X														X																		X																X																				X			X		X			X								X																																																																																				32
Myosotis ramosissima Rochel, 1814	P	Thér.			109084																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			X																																																																																																																																																																																																																																												1
Myrtus communis L., 1753	P	nPhan.			109186																																																																																+																																																																																																																																																																																																																																																			+							2															1														2		2		2										2																2																																																																																																																																																																																																																																																																																																																																																																																																																											X									X						X		X																																																																																																													X	X	X														X																																																							X																																																																																																																																						X																																																																																				19
Narcissus assoanus Dufour, 1830	P	Géo. bulb.	Ononidetalia striatae		109234																																																																+		+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						X																																																																																																																																																											X																										X							X			X			X		X	X	X	X		X									X									X				X														X																		X																																							X																																																																																																	19
Narcissus dubius Gouan, 1773	P	Géo. bulb.	Phlomido lychnitidis - Brachypodion retusi		109252																																																																																																																																																																																																																																																																																																																																																		2				2		2	2																													2	2	2	2				2		2				2					2							2	2								4	4																																																																																																																																															2	2																			3											X														X																																																																																																									X																																																																																		X	X																				X										X	X																																																																																																																																																																																									X												X																														X													X																																																																							X				X																																																																																				33
Narcissus papyraceus Ker Gawl., 1806	P	Géo. bulb.			109287																																																																																																																																																																																																																																																																																																																																																																									1																																																																																																																																																																																																																																																																																																																																																																										X																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												2
Narcissus tazetta subsp. tazetta L., 1753	P	Géo. bulb.			138027																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					X																																																																																																																																																										1
Narduroides salzmannii (Boiss.) Rouy, 1913	P	Thér.	Trachynion distachyae		109346																																																																																																																																																																																																																																																																																																																																																																														2			2	2	2			3	2																2																																																																																																																																																																																																																																																																																																																																																																																																										X																																																																																																																																																																																																																																																																																																																																																																																																																																														8
Nasturtium officinale W.T.Aiton, 1812	P	Hél.	Glycerio fluitantis - Nasturtietea officinalis		109422																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						X																																																																																																																																																																																																																																																																																																																																																																																																																									1
Neatostema apulum (L.) I.M.Johnst., 1953	P	Thér.	Stipo capensis - Trachynietea distachyae		109465																																																																																																																																																																																																																																																																																																																																																																																							1																																																																																																																																																																							2		1																												2																																																																																																																																																																																																																				X																																																																																																																																																																																																																																																																									X																																																																																			X																																																																																			7
Neotinea maculata (Desf.) Stearn, 1974	P	Géo. tub.			109499																																																																																																																																																																																																																																																																																																																																																							1																																																																																																																																																																																																																																					1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			2
Nigella damascena L., 1753	P	Thér.	Sisymbrietea officinalis		109625																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														X		X			X				X		X																								X																																																																																																																																																																														6
Noccaea caerulescens subsp. caerulescens (J.Presl & C.Presl) F.K.Mey., 1973	P	Hémi.			138090																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							X																																																																																																																																																																																																								1
Odontites luteus (L.) Clairv., 1811	P	Thér.			109838																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				X																																																																																																																																																																																																																																																																																																																																																																																																																											1
Odontites luteus subsp. luteus (L.) Clairv., 1811	P	Thér.	Rosmarinetalia officinalis		138127																																																																																																																																																																																																																																																																																																								2						2																																2	2																						2		2		2					2		2																				2																																																																																																																																																																																								3																																																																																																														X																												X	X																																																																									X																					X																																																																																																																																																																																																																							X																																																																																																																																																																																																			17
Olea europaea L., 1753	P	Phan.			110002							X													+				+																																																																																																																																																																																																																																																																																				1				2																										1				1								2			2																																				1												2								1		1	1			1	1																																																																																																																																	1						1		1																											1												X																																																																																	X					X			X	X																									X			X																					X																																																																X	X	X																					X														X																																																																																																							X	X														X																																		X																													X			X	X		X	X			X		X			X							X								X					X	X							X					X		X	X					X																																												1													X			X																																																																																														57
